,age_min,age_max,wife_ed_min,wife_ed_max,husb_ed_min,husb_ed_max,no_kids_min,no_kids_max,wife_rel_min,wife_rel_max,wife_works_min,wife_works_max,husb_occupation_min,husb_occupation_max,SOL_index_min,SOL_index_max,media_exp_min,media_exp_max,class
0,16,32,1,2,3,3,3,4,0,1,0,1,1,4,1,3,0,0,1
1,33,49,1,3,1,3,8,16,0,1,0,1,1,4,4,4,0,1,1
2,33,49,1,3,1,3,6,7,0,1,0,1,1,4,4,4,0,1,1
3,33,49,1,3,1,3,9,16,0,1,0,1,1,4,1,3,0,0,1
4,33,49,3,3,1,3,6,8,0,1,0,1,1,4,1,3,0,0,1
5,16,25,4,4,1,4,0,2,0,1,0,1,3,4,1,3,0,1,1
6,33,49,1,2,3,3,6,8,0,1,0,1,1,4,1,3,0,0,1
7,16,22,3,3,1,3,0,2,0,1,0,1,1,4,1,2,0,1,1
8,16,32,1,3,1,3,3,4,0,1,0,1,1,4,4,4,0,1,1
9,33,49,1,3,1,3,6,16,0,1,0,1,1,2,1,3,1,1,1
10,33,49,1,3,1,3,0,5,0,1,0,1,3,4,1,3,1,1,1
11,40,49,1,3,4,4,0,4,0,1,0,1,1,2,1,3,0,1,1
12,44,45,4,4,1,4,0,4,0,1,0,1,1,1,1,4,0,1,1
13,39,49,1,3,4,4,0,4,0,1,0,1,3,4,1,4,0,1,1
14,33,39,1,3,4,4,0,4,0,1,0,1,1,2,1,3,0,1,1
15,26,32,1,3,4,4,0,2,0,1,0,1,3,4,1,3,0,1,1
16,33,49,1,3,1,3,6,7,0,1,0,1,1,4,4,4,0,1,1
17,33,49,1,3,1,3,6,7,0,1,0,1,1,4,4,4,0,1,1
18,33,49,1,2,1,2,6,8,0,1,0,1,1,4,1,3,0,0,1
19,33,49,1,3,1,3,0,5,0,1,0,1,1,2,1,3,1,1,1
20,26,32,1,3,4,4,0,2,0,1,0,1,3,4,1,3,0,1,1
21,22,25,1,3,4,4,0,2,0,1,0,1,1,4,1,3,0,1,1
22,46,49,4,4,1,4,0,4,0,1,0,1,1,1,1,4,0,1,1
23,38,39,4,4,1,4,0,3,0,1,0,1,1,1,1,4,0,1,1
24,43,49,4,4,1,4,5,6,0,1,0,1,1,1,1,4,0,1,1
25,33,49,1,3,4,4,5,16,0,1,0,1,3,4,1,4,0,1,1
26,38,39,4,4,1,4,0,3,0,1,0,1,1,1,1,4,0,1,1
27,26,32,4,4,1,4,0,1,0,1,0,0,1,1,1,4,0,1,1
