algo,no,precision,dm,cm,entropy,discern,ilm,acc
datafly,2,0.033310810810810776,0.08,0.3974324324324324,0.9767964391487904,0.5403244338933528,0.046487908961593175,0.5054054054054054
datafly_shuffled,2,0.025027027027027082,0.0325,0.4337837837837838,0.9724641373616644,0.33620588020452885,0.04945368065433855,0.5452702702702703
mondrian,2,0.4106846208556736,0.5875,0.23540540540540544,0.8191101324090374,0.0005295471146822498,0.04599512802275962,0.4945945945945946
datafly,3,0.01666666666666661,0.03,0.4258108108108108,0.9922774428794264,0.8651150840029218,0.04837379089615931,0.5054054054054054
datafly_shuffled,3,0.033333333333333215,0.05,0.38972972972972975,0.9408036614059759,0.09620504017531044,0.04841863442389759,0.5378378378378378
mondrian,3,0.4052074898785425,0.585,0.26675675675675675,0.8265905754491416,0.0007156683710737763,0.0461563477951636,0.4945945945945946
datafly,4,0.041960585585585686,0.0875,0.31283783783783786,0.9574370758703716,0.23976972242512784,0.045853805120910376,0.5054054054054054
datafly_shuffled,4,0.05000000000000005,0.09,0.33959459459459457,0.9118940104629524,0.03359167275383492,0.04783433499288765,0.5702702702702702
mondrian,4,0.4390019969362078,0.6825,0.20094594594594595,0.8079071554237749,0.00033360116873630384,0.04626532716927456,0.4945945945945946
datafly,5,0.016666666666666833,0.03,0.4174324324324325,0.991834438591605,0.8428318115412711,0.048260544096728315,0.5054054054054054
datafly_shuffled,5,0.03333333333333344,0.065,0.35702702702702704,0.9620578071010604,0.2917910518626735,0.04846655405405406,0.5054054054054054
mondrian,5,0.4094492194623775,0.595,0.2664864864864865,0.8280272804477822,0.0007123447772096421,0.0466961237553343,0.4945945945945946
datafly,6,0.01666666666666661,0.03,0.3593243243243243,0.9838803052874416,0.6239429145361578,0.048055743243243236,0.5054054054054054
datafly_shuffled,6,0.04172972972972977,0.0875,0.3271621621621621,0.9496998763852141,0.16508593864134405,0.04889254978662873,0.5054054054054054
mondrian,6,0.4220030729109675,0.6175,0.2404054054054054,0.8207905093238236,0.0005253104455807158,0.04685464082503565,0.4945945945945946
datafly,7,0.033324324324324306,0.08,0.3855405405405405,0.9620772306572852,0.24895956902848795,0.04612951635846373,0.5317567567567567
datafly_shuffled,7,0.043632882882882806,0.0625,0.3932432432432432,0.943372912467578,0.12035682980277575,0.048357379089615925,0.5
mondrian,7,0.4385809260677683,0.65,0.2066216216216216,0.8063378721178659,0.00033546384222059896,0.04566996799431014,0.4945945945945946
datafly,8,0.04405855855855867,0.0625,0.3391891891891892,0.97123882918614,0.4705062819576333,0.04632805832147939,0.5054054054054054
datafly_shuffled,8,0.0416610360360361,0.0875,0.3695945945945946,0.9491111669338138,0.1661637326515705,0.04833685988620198,0.5054054054054054
mondrian,8,0.40562450304555575,0.595,0.29567567567567565,0.8276193767003394,0.0007166179693206719,0.04575293385490755,0.4945945945945946
datafly,9,0.03333333333333344,0.0575,0.3666216216216216,0.9634141990686916,0.2950654857560263,0.04599770625889047,0.5054054054054054
datafly_shuffled,9,0.04173423423423439,0.0675,0.3414864864864865,0.9535146579221198,0.21694894083272465,0.04841509601706971,0.5054054054054054
mondrian,9,0.4376910402305141,0.6525,0.21702702702702706,0.8098312599072539,0.00033590211833455083,0.0463783072546231,0.4945945945945946
datafly,10,0.01666666666666661,0.035,0.35283783783783784,0.970429428855222,0.3119584733382031,0.04781895448079659,0.5020270270270271
datafly_shuffled,10,0.01666666666666661,0.0275,0.4531081081081081,0.9723064438747824,0.39076610664718775,0.04909683499288762,0.5216216216216216
